"name","category","author","source","source-url","cover-image","genre","summary","cost","license","tags","stats","subtext1","subtext2"
"A Fistful of Feathers","adventures","Pointless Monument","itch.io","https://pointlessmonument.itch.io/a-fistful-of-feathers","https://img.itch.zone/aW1nLzg2OTE1NjMucG5n/original/Wq5N%2BB.png","","A pointcrawl for Cairn - how far will you go for a comfy night's sleep?","free","","originals","","",""
"A Gathering Storm","adventures","seedling","itch.io","https://seedling.itch.io/a-gathering-storm-cairn","https://img.itch.zone/aW1nLzg2OTEyNzEucG5n/original/NiRRWI.png","","","$6","","originals","","",""
"Alfking","adventures","Æventyrspil","itch.io","https://toxicdonkeybutts.itch.io/alfking","","","a rotten trunk filled with growling drooling and hungry problems","$1","","originals","","",""
"Arbon and the Rot Dragon","adventures","Brooklet Games","itch.io","https://brookletgames.itch.io/arbon-and-the-rot-dragon","https://img.itch.zone/aW1nLzg2MDIyNDEucG5n/original/77VGLS.png","","Climb the inside of a great rotting tree to defeat the Rot Dragon","$6","","originals","","",""
"A Traveler's Guide to the Echelon Forest","adventures","AwkwardTurtle","itch.io","https://awkwardturtle.itch.io/echelon-forest","https://img.itch.zone/aW1nLzg2NTQ3NDkucG5n/original/JRoGN7.png","","A system agnostic die drop forest point crawl.","$5","","originals","","",""
"Beneath These Strange Trees","adventures","Scribbled Maze","itch.io","https://scribbledmaze.itch.io/strange-trees","https://img.itch.zone/aW1nLzg2OTc1MTIucG5n/original/7b7C17.png","","An underground setting and generator for the Cairn adventure game","free","","originals","","",""
"Birkreach Underforest","adventures","Scablands Press","itch.io","https://scablandspress.itch.io/birkreach-underforest","https://img.itch.zone/aW1nLzg2NDU4NjcucG5n/original/O6i%2Fxv.png","","an adventure for Cairn","free","","originals","","",""
"Blessed Tree, Missing Wife","adventures","Seth Patterson","itch.io","https://nylawoethief.itch.io/blessed-tree-missing-wife","https://img.itch.zone/aW1nLzEyNTY5OTY0LnBuZw==/original/aFyN1Y.png","","Adventure for Cairn","free","","originals","","",""
"Caers & Crannogs - Dolmenring","adventures","Manarampmatt","itch.io","https://manarampmatt.itch.io/caers-crannogs-dolmenring","https://img.itch.zone/aW1nLzg0ODY1OTAucG5n/original/blKkvj.png","","","","","originals","","",""
"Darkness Moves","adventures","Perplexing Ruins","itch.io","https://perplexingruins.itch.io/darkness-moves","https://img.itch.zone/aW1nLzU5OTIwMzQuanBn/original/AKKwN7.jpg","","","$3","","originals","","",""
"Demon Driven to the Maw","adventures","Brad Kerr","itch.io","https://brad-kerr.itch.io/demon-driven-to-the-maw","https://img.itch.zone/aW1nLzY5NTAzMDcuanBn/original/vLOB9J.jpg","","A party-crawl adventure for Cairn.","$4.99","","originals","","",""
"Demonsbane","adventures","Perplexing Ruins","itch.io","https://perplexingruins.itch.io/demonsbane","https://img.itch.zone/aW1nLzc4MzAxNTQucG5n/original/LvBPKA.png","","","$3","","originals","","",""
"Escape The City","adventures","Brooklet Games","itch.io","https://brookletgames.itch.io/escape-the-city","https://img.itch.zone/aW1nLzg5MTQ4ODgucG5n/original/2M1%2BPx.png","","Can you survive to escape the city?","$6","","originals","","",""
